what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.platform.e37,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.platform.e37",1351786968225
started,bundle,com.google.gdt.eclipse.suite.ext,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.suite.ext",1351786968225
started,bundle,com.google.gwt.eclipse.core,3.1.0.v201208080120-rel-r37,"com.google.gwt.eclipse.core",1351786968226
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1351786968226
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1351786968227
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1351786968227
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1351786968227
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1351786968228
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1351786968228
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.ui",1351786968229
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1351786968229
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1351786968230
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1351786968230
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1351786968231
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1351786968232
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.index.core",1351786968233
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1351786968234
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1351786968235
started,bundle,de.odysseus.stan.eclipse,2.1.0.v20120917,"de.odysseus.stan.eclipse",1351786968235
started,bundle,de.odysseus.stan.eclipse.perspective,2.1.0.v20120917,"de.odysseus.stan.eclipse.perspective",1351786968236
started,bundle,com.instantiations.eclipse.debug,6.0.0.r37x201109091114,"com.instantiations.eclipse.debug",1351786968236
started,bundle,com.instantiations.eclipse.startup,6.0.0.r37x201109091114,"com.instantiations.eclipse.startup",1351786968237
started,bundle,com.instantiations.eclipse.util,6.0.0.r37x201109091114,"com.instantiations.eclipse.util",1351786968237
os,sysinfo,,,"macosx",1351786968246
arch,sysinfo,,,"x86_64",1351786968246
ws,sysinfo,,,"cocoa",1351786968246
locale,sysinfo,,,"ko_KR",1351786968246
processors,sysinfo,,,"4",1351786968247
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351786968247
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1351786968247
java.specification.name,sysinfo,,,"Java Platform API Specification",1351786968247
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351786968247
java.specification.version,sysinfo,,,"1.6",1351786968247
java.vendor,sysinfo,,,"Apple Inc.",1351786968247
java.version,sysinfo,,,"1.6.0_37",1351786968247
java.vm.info,sysinfo,,,"mixed mode",1351786968247
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1351786968247
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351786968247
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351786968247
java.vm.specification.version,sysinfo,,,"1.0",1351786968247
java.vm.vendor,sysinfo,,,"Apple Inc.",1351786968247
java.vm.version,sysinfo,,,"20.12-b01-434",1351786968247
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351786968545
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1351786968546
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1351786970308
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1351786970310
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1351786970325
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1351786970326
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1351786970522
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1351786971463
started,bundle,com.google.gdt.eclipse.appengine.rpc,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1351786971965
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1351786971996
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1351786972001
started,bundle,com.google.gdt.eclipse.maven,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.maven",1351786973677
started,bundle,com.google.gdt.eclipse.suite,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.suite",1351786973683
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1351786973697
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1351786973738
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1351786974181
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1351786974275
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1351786974292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351786981603
